"","coords.x1","coords.x2","scientific"
"375",61.586933333333,-11.1677666666669,"Carcharhinus obscurus"
"376",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"377",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"378",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"379",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"380",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"381",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"382",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"383",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"384",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"385",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"386",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"387",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"388",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"389",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"390",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"391",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"392",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"393",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"394",61.6707666666669,-11.1677666666669,"Carcharhinus obscurus"
"395",60.3856833333329,-11.151,"Carcharhinus obscurus"
"396",60.4024,-11.151,"Carcharhinus obscurus"
"397",60.4024,-11.151,"Carcharhinus obscurus"
"398",60.4024,-11.151,"Carcharhinus obscurus"
"399",61.7042,-11.151,"Carcharhinus obscurus"
"400",61.7042,-11.151,"Carcharhinus obscurus"
"401",61.7042,-11.151,"Carcharhinus obscurus"
"402",61.7042,-11.151,"Carcharhinus obscurus"
"403",61.7042,-11.151,"Carcharhinus obscurus"
"404",61.7042,-11.151,"Carcharhinus obscurus"
"405",61.7042,-11.151,"Carcharhinus obscurus"
"406",61.7042,-11.151,"Carcharhinus obscurus"
"407",61.7042,-11.151,"Carcharhinus obscurus"
"408",61.7042,-11.151,"Carcharhinus obscurus"
"409",61.7042,-11.151,"Carcharhinus obscurus"
"410",61.7042,-11.151,"Carcharhinus obscurus"
"411",61.7042,-11.151,"Carcharhinus obscurus"
"412",61.7042,-11.151,"Carcharhinus obscurus"
"413",60.419166666667,-11.1173666666669,"Carcharhinus obscurus"
"414",60.4359833333329,-11.1173666666669,"Carcharhinus obscurus"
"415",60.4359833333329,-11.1173666666669,"Carcharhinus obscurus"
"416",61.6037,-11.0504,"Carcharhinus obscurus"
"417",61.6037,-11.0504,"Carcharhinus obscurus"
"418",61.6037,-11.0504,"Carcharhinus obscurus"
"419",61.6037,-11.0504,"Carcharhinus obscurus"
