% MOP_ID         ID             X              Y              RASTERVALU
           4602              1     194391.308    3818268.926         -7.945
           4602              1     194391.241    3818271.925         -7.875
           4602              1     194391.174    3818274.924         -7.800
           4602              1     194391.107    3818277.923         -7.761
           4602              1     194391.041    3818280.923         -7.760
           4602              1     194390.974    3818283.922         -7.757
           4602              1     194390.907    3818286.921         -7.721
           4602              1     194390.840    3818289.920         -7.623
           4602              1     194390.773    3818292.920         -7.532
           4602              1     194390.706    3818295.919         -7.442
           4602              1     194390.640    3818298.918         -7.342
           4602              1     194390.573    3818301.917         -7.248
           4602              1     194390.506    3818304.917         -7.158
           4602              1     194390.439    3818307.916         -7.091
           4602              1     194390.372    3818310.915         -7.026
           4602              1     194390.305    3818313.914         -6.959
           4602              1     194390.238    3818316.914         -6.890
           4602              1     194390.172    3818319.913         -6.807
           4602              1     194390.105    3818322.912         -6.708
           4602              1     194390.038    3818325.911         -6.608
           4602              1     194389.971    3818328.911         -6.509
           4602              1     194389.904    3818331.910         -6.405
           4602              1     194389.837    3818334.909         -6.295
           4602              1     194389.771    3818337.908         -6.177
           4602              1     194389.704    3818340.908         -6.058
           4602              1     194389.637    3818343.907         -5.939
           4602              1     194389.570    3818346.906         -5.811
           4602              1     194389.503    3818349.905         -5.687
           4602              1     194389.436    3818352.905         -5.568
           4602              1     194389.369    3818355.904         -5.452
           4602              1     194389.303    3818358.903         -5.337
           4602              1     194389.236    3818361.902         -5.224
           4602              1     194389.169    3818364.902         -5.110
           4602              1     194389.102    3818367.901         -4.996
           4602              1     194389.035    3818370.900         -4.887
           4602              1     194388.968    3818373.900         -4.778
           4602              1     194388.902    3818376.899         -4.672
           4602              1     194388.835    3818379.898         -4.559
           4602              1     194388.768    3818382.897         -4.443
           4602              1     194388.701    3818385.897         -4.334
           4602              1     194388.634    3818388.896         -4.225
           4602              1     194388.567    3818391.895         -4.116
           4602              1     194388.500    3818394.894         -4.007
           4602              1     194388.434    3818397.894         -3.899
           4602              1     194388.367    3818400.893         -3.797
           4602              1     194388.300    3818403.892         -3.678
           4602              1     194388.233    3818406.891         -3.553
           4602              1     194388.166    3818409.891         -3.433
           4602              1     194388.099    3818412.890         -3.318
           4602              1     194388.033    3818415.889         -3.205
           4602              1     194387.966    3818418.888         -3.099
           4602              1     194387.899    3818421.888         -3.031
           4602              1     194387.832    3818424.887         -3.029
           4602              1     194387.765    3818427.886         -3.004
           4602              1     194387.698    3818430.885         -2.938
           4602              1     194387.631    3818433.885         -2.862
           4602              1     194387.565    3818436.884         -2.797
           4602              1     194387.498    3818439.883         -2.768
           4602              1     194387.431    3818442.882         -2.695
           4602              1     194387.364    3818445.882         -2.612
           4602              1     194387.297    3818448.881         -2.520
           4602              1     194387.230    3818451.880         -2.424
           4602              1     194387.164    3818454.879         -2.330
           4602              1     194387.097    3818457.879         -2.234
           4602              1     194387.030    3818460.878         -2.130
           4602              1     194386.963    3818463.877         -2.018
           4602              1     194386.896    3818466.876         -1.906
           4602              1     194386.829    3818469.876         -1.798
           4602              1     194386.762    3818472.875         -1.687
           4602              1     194386.696    3818475.874         -1.572
           4602              1     194386.629    3818478.873         -1.457
           4602              1     194386.562    3818481.873         -1.341
           4602              1     194386.495    3818484.872         -1.226
           4602              1     194386.428    3818487.871         -1.111
           4602              1     194386.361    3818490.870         -0.971
           4602              1     194386.295    3818493.870         -0.824
           4602              1     194386.228    3818496.869         -0.678
           4602              1     194386.161    3818499.868         -0.516
           4602              1     194386.094    3818502.867         -0.342
           4602              1     194386.027    3818505.867         -0.170
           4602              1     194385.960    3818508.866         -0.002
           4602              1     194385.893    3818511.865          0.186
           4602              1     194385.827    3818514.865          0.378
           4602              1     194385.760    3818517.864          0.628
           4602              1     194385.693    3818520.863          0.646
           4602              1     194385.626    3818523.862          0.816
           4602              1     194385.559    3818526.862          0.997
           4602              1     194385.492    3818529.861          1.134
           4602              1     194385.426    3818532.860          1.290
           4602              1     194385.359    3818535.859          1.432
           4602              1     194385.292    3818538.859          1.586
           4602              1     194385.225    3818541.858          1.771
           4602              1     194385.158    3818544.857          1.899
           4602              1     194385.091    3818547.856          1.915
           4602              1     194385.025    3818550.856          2.081
           4602              1     194384.958    3818553.855          2.246
           4602              1     194384.891    3818556.854          2.354
           4602              1     194384.824    3818559.853          2.616
           4602              1     194384.757    3818562.853          2.944
           4602              1     194384.690    3818565.852          3.824
           4602              1     194384.624    3818568.851          4.341
           4602              1     194384.557    3818571.850          5.885
           4602              1     194384.490    3818574.850          8.195
           4602              1     194384.423    3818577.849         10.425
           4602              1     194384.356    3818580.848         13.397
           4602              1     194384.289    3818583.847         14.617
           4602              1     194384.223    3818586.847         15.125
           4602              1     194384.156    3818589.846         14.686
           4602              1     194384.089    3818592.845         14.689
           4602              1     194384.022    3818595.844         14.644
           4602              1     194383.955    3818598.844         14.712
           4602              1     194383.888    3818601.843         14.903
           4602              1     194383.822    3818604.842         14.991
           4602              1     194383.755    3818607.841         15.224
           4602              1     194383.688    3818610.841         15.642
           4602              1     194383.621    3818613.840         16.027
           4602              1     194383.554    3818616.839         16.224
           4602              1     194383.487    3818619.838         16.531
           4602              1     194383.421    3818622.838         16.574
           4602              1     194383.354    3818625.837         16.725
           4602              1     194383.287    3818628.836         17.023
           4602              1     194383.220    3818631.835         17.278
           4602              1     194383.153    3818634.835         17.524
           4602              1     194383.087    3818637.834         17.658
           4602              1     194383.020    3818640.833         17.887
           4602              1     194382.953    3818643.833         17.950
           4602              1     194382.886    3818646.832         18.026
           4602              1     194382.819    3818649.831         18.036
           4602              1     194382.752    3818652.830         17.844
           4602              1     194382.686    3818655.830         17.777
           4602              1     194382.619    3818658.829         17.482
           4602              1     194382.552    3818661.828         16.943
           4602              1     194382.485    3818664.827         16.963
           4602              1     194382.418    3818667.827         16.304
