# this file can be loaded into matlab with csv2struct
fileName;Date
KB112_5150_19810101.asc;19810101
KB112_5150_19830101.asc;19830101
KB112_5150_19850101.asc;19850101
KB112_5150_19870101.asc;19870101
KB112_5150_19890101.asc;19890101
KB112_5150_19900101.asc;19900101
KB112_5150_19930101.asc;19930101
KB112_5150_19950101.asc;19950101
KB112_5150_19970101.asc;19970101
KB112_5150_19990101.asc;19990101
KB112_5150_20010101.asc;20010101
KB112_5150_20030101.asc;20030101
KB113_4342_19600101.asc;19600101
KB113_4342_19640101.ASC;19640101
KB113_4342_19670101.asc;19670101
KB113_4342_19680101.ASC;19680101
KB113_4342_19700101.asc;19700101
KB113_4342_19720101.ASC;19720101
KB113_4342_19740101.asc;19740101
KB113_4342_19760101.ASC;19760101
KB113_4342_19780101.asc;19780101
KB113_4342_19800101.ASC;19800101
KB113_4342_19820101.asc;19820101
KB113_4342_19840101.ASC;19840101
KB113_4342_19850101.asc;19850101
KB113_4342_19860101.asc;19860101
KB113_4342_19870101.asc;19870101
KB113_4342_19880101.asc;19880101
KB113_4342_19890101.ASC;19890101
KB113_4342_19910101.asc;19910101
KB113_4342_19920101.ASC;19920101
KB113_4342_19940101.asc;19940101
KB113_4342_19950101.asc;19950101
KB113_4342_19960101.asc;19960101
KB113_4342_19970101.asc;19970101
KB113_4342_19980101.ASC;19980101
KB113_4342_19980701.asc;19980701
KB113_4342_20000101.asc;20000101
KB113_4342_20010101.asc;20010101
KB113_4342_20020101.asc;20020101
KB113_4342_20040101.asc;20040101
KB113_4342_20040422.asc;20040422
KB113_4342_20070614.asc;20070614
KB113_4544_19600101.asc;19600101
KB113_4544_19640101.ASC;19640101
KB113_4544_19650101.asc;19650101
KB113_4544_19670101.asc;19670101
KB113_4544_19680101.ASC;19680101
KB113_4544_19700101.asc;19700101
KB113_4544_19720101.ASC;19720101
KB113_4544_19740101.asc;19740101
KB113_4544_19760101.ASC;19760101
KB113_4544_19780101.asc;19780101
KB113_4544_19800101.ASC;19800101
KB113_4544_19820101.asc;19820101
KB113_4544_19830101.asc;19830101
KB113_4544_19840101.ASC;19840101
KB113_4544_19850101.asc;19850101
KB113_4544_19860101.asc;19860101
KB113_4544_19870101.asc;19870101
KB113_4544_19880101.asc;19880101
KB113_4544_19890101.ASC;19890101
KB113_4544_19900101.asc;19900101
