id                                         , Unit,rws                                        ,normal
HK_1501_R_HBR-H_Hartelkanaal-Q8            ,     ,HK_15.01_R_HBR-H_Hartelkanaal-Q8           ,Hartelkanaal
HV_102774_L_LMW-Cl_Haringvlietboei         ,     ,HV_1027.74_L_LMW-Cl_Haringvlietboei        ,Haringvlietboei
HV_102935_L_LMW-Cl_Stellendamboei          ,     ,HV_1029.35_L_LMW-Cl_Stellendamboei         ,Stellendamboei
433-036-00021_kwaliteit                    ,     ,433-036-00021_kwaliteit                    ,Gouda
000-105-00027_kwaliteit                    ,     ,000-105-00027_kwaliteit                    ,Middelwatering
000-105-00029_kwaliteit                    ,     ,000-105-00029_kwaliteit                    ,Nesse
MPN-90                                     ,     ,MPN-90                                     ,Snelle-Sluis
000-105-00030_kwaliteit                    ,     ,000-105-00030_kwaliteit                    ,Verdoold
000-105-00028_kwaliteit                    ,     ,000-105-00028_kwaliteit                    ,Veurink
MPN-510                                    ,     ,MPN-510									 ,Abraham-Kroes-Zuiplaspolder
433-036-00021_hollandseijsse               ,     ,433-036-00021_hollandseijsse               ,Gouda	
MPN-557                                    ,     ,MPN-557                                    ,Krimpenerwaard
MPN-450                                    ,     ,MPN-450                                    ,Middelwatering
163-036-00025_bovenpand                    ,     ,163-036-00025_bovenpand                    ,terhoogtevanWaaiersluis
MPN-527                                    ,     ,MPN-527                                    ,Verdoold
MPN-529                                    ,     ,MPN-529                                    ,Veurink
433-036-00021                              ,     ,433-036-00021                              ,Gouda
KGM-63                                     ,     ,KGM-63                                     ,Krimpenerwaard
sal_mea_BEERPLKOVR, , ,Beerenplaat
sal_mea_Brienenoordbrug, , ,Brienenoordbrug 
sal_mea_Gouda, , ,Gouda 
sal_mea_Groen-18, , ,Groen-18
sal_mea_Groen-26, , ,Groen-26
sal_mea_Hoek_van_Holland, , ,Hoek van Holland
sal_mea_INLSU, , ,INLSU
sal_mea_Kinderdijk, , ,Kinderdijk  
sal_mea_Krimpen_ad_IJssel, , ,Krimpen a/d IJssel
sal_mea_Lekhaven, , ,Lekhaven 
sal_mea_Lek-972, , ,Lek-972 
sal_mea_Lek-977, , ,Lek-977 
sal_mea_Lek-978, , ,Lek-978 
sal_mea_Lek-979, , ,Lek-979 
sal_mea_Lek-981, , ,Lek-981 
sal_mea_Lek-982, , ,Lek-982 
sal_mea_Lek-983.5, , ,Lek-983.5 
sal_mea_Lek-985, , ,Lek-985 
sal_mea_Lek-986, , ,Lek-986 
sal_mea_Lek-989, , ,Lek-989 
sal_mea_MIDDHNSMB, , ,MIDDHNSMB
sal_mea_Middelwatering, , ,Middelwatering 
sal_mea_Nesse, , ,Nesse 
sal_mea_Rood-12, , ,Rood-12 
sal_mea_Rood-6, , ,Rood-6 
sal_mea_Rood-9, , ,Rood-9 
sal_mea_SPIJKNSBWTLK, , ,Spijkenissebrug 
sal_mea_Snelle-Sluis, , ,Snelle-Sluis 
sal_mea_Verdoold, , ,Verdoold 
sal_mea_Veurink, , ,Veurink 
sal_mea_ZUIDLD, , ,ZUIDLD 
SR_10356_R_LMW-TW_Bathse-Spuikanaal-Inloop-meetpaal, , ,Inloop Spui
HD_99893_L_LMW-Cl_Volkerak-Noord, , ,Volkeraksluizen
NW_102689_R_LMW-H_Maeslantkering-zeezijde, , ,Maeslantkering zeezijde
NW_102689_L_LMW-H_Maeslantkering-zeezijde, , ,Maeslantkering zeezijde
SP_100713_R_LMW-H_Zuidland-g6, , ,Zuidland
