Code,Omschrijving,Groep
L610nm,gemeten bij golflengte 610 nm,HoedanigheidOnterecht
L650nm,gemeten bij golflengte 650 nm,HoedanigheidOnterecht
L655nm,gemeten bij golflengte 655 nm,HoedanigheidOnterecht
L665nm,gemeten bij golflengte 665 nm,HoedanigheidOnterecht
L672nm,gemeten bij golflengte 672 nm,HoedanigheidOnterecht
L700-825,gemeten bij golflengtebereik 700 tot 825 nm,HoedanigheidOnterecht
L776nm,gemeten bij golflengte 776 nm,HoedanigheidOnterecht
L825-950,gemeten bij golflengtebereik 825 tot 950 nm,HoedanigheidOnterecht
LAAGPL,t.o.v. laag peil,ReferentieVlak
LAAGTRF,laag tarief,HoedanigheidFractieBasis
LAT,t.o.v. Lowest Astronomical Tide,ReferentieVlak
LEVD,Levend,BiologischKenmerk
LINKOVR,t.o.v. linkeroever,ReferentieRichting
LLWS1980,t.o.v. Laag Laag Water Spring 1980.0,ReferentieVlak
LLWS1985,t.o.v. Laag Laag Water Spring 1985.0,ReferentieVlak
LLWS1992,t.o.v. Laag Laag Water Spring 1992.0,ReferentieVlak
LS,uitgedrukt in C12ySO4 (laurylsulfaat),HoedanigheidEquivalent
LS-10,LS-waarde cumulatief 10.0 ± 0.1 ml/g,UitloogFractie
LS-10dg,LS-waarde cumulatief 10.0 ± 0.1 ml/g / drooggewicht,HoedanigheidCombinatie
LS-10nf,LS-waarde cumulatief 10.0 ± 0.1 ml/g na filtratie,HoedanigheidCombinatie
LS-AD,Levenstadium-Adult,BiologischKenmerk
LS-CO,Levenstadium-Copepodiet,BiologischKenmerk
LS-DL,Levensstadium-Dauer larve,BiologischKenmerk
LS-EI,Levenstadium-Ei,BiologischKenmerk
LS-EM,Levenstadium-Embryo,BiologischKenmerk
LS-EP,Levenstadium-Ephippium,BiologischKenmerk
LS-EX,Levenstadium-Exuvium,BiologischKenmerk
LS-FL,Levenstadium-Flagellaat,BiologischKenmerk
LS-JU,Levenstadium-Juveniel,BiologischKenmerk
LS-KU,Levenstadium-Kuiken,BiologischKenmerk
LS-LA,Levenstadium-Larve,BiologischKenmerk
LS-NA,Levenstadium-Nauplius,BiologischKenmerk
LS-NY,Levenstadium-Nimf,BiologischKenmerk
LS-PO,Levenstadium-Pop,BiologischKenmerk
LS-PU,Levenstadium-Pul of donsjong,BiologischKenmerk
LS-SP,Levenstadium-Spore,BiologischKenmerk
LS-VE,Levensstadium-Veliger,BiologischKenmerk
LV-K,Levensvorm-Kolonie,BiologischKenmerk
LV-S,Levensvorm-Solitair,BiologischKenmerk
MAAIVD,t.o.v. maaiveld,ReferentieVlak
METLN,t.o.v. metalen,HoedanigheidReferentieBasis
METLNG,t.o.v. metalen grijze lijst,HoedanigheidReferentieBasis
METLNZ,t.o.v. metalen zwarte lijst,HoedanigheidReferentieBasis
MSL,t.o.v. Mean Sea Level,ReferentieVlak
MWA,meest waarschijnlijke aantal,HoedanigheidOnterecht
