time;platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;value;unit;location_name
29-08-13 11:11:00;Imares_st_4;PAAPSSD;;;;;;;;0.7192;mgN/l;PAAPSSD
16-09-13 14:46:00;Imares_st_4;PAAPSSD;;;;;;;;0.7737;mgN/l;PAAPSSD
15-10-13 14:14:00;Imares_st_4;PAAPSSD;;;;;;;;0.9997;mgN/l;PAAPSSD
14-11-13 14:13:00;Imares_st_4;PAAPSSD;;;;;;;;2.4793;mgN/l;PAAPSSD
21-02-13 14:07:00;Imares_st_5;MONDVDDLD;;;;;;;;4.3464;mgN/l;MONDVDDLD
07-03-13 12:45:00;Imares_st_5;MONDVDDLD;;;;;;;;4.5549;mgN/l;MONDVDDLD
25-03-13 16:12:00;Imares_st_5;MONDVDDLD;;;;;;;;4.4123;mgN/l;MONDVDDLD
04-04-13 12:14:00;Imares_st_5;MONDVDDLD;;;;;;;;3.3359;mgN/l;MONDVDDLD
18-04-13 11:06:00;Imares_st_5;MONDVDDLD;;;;;;;;2.7299;mgN/l;MONDVDDLD
02-05-13 09:25:00;Imares_st_5;MONDVDDLD;;;;;;;;2.3331;mgN/l;MONDVDDLD
22-05-13 16:04:00;Imares_st_5;MONDVDDLD;;;;;;;;1.5024;mgN/l;MONDVDDLD
04-06-13 15:08:00;Imares_st_5;MONDVDDLD;;;;;;;;1.4368;mgN/l;MONDVDDLD
19-06-13 14:04:00;Imares_st_5;MONDVDDLD;;;;;;;;1.1643;mgN/l;MONDVDDLD
03-07-13 14:27:00;Imares_st_5;MONDVDDLD;;;;;;;;1.2332;mgN/l;MONDVDDLD
17-07-13 11:20:00;Imares_st_5;MONDVDDLD;;;;;;;;1.2241;mgN/l;MONDVDDLD
01-08-13 13:07:00;Imares_st_5;MONDVDDLD;;;;;;;;0.9256;mgN/l;MONDVDDLD
15-08-13 12:06:00;Imares_st_5;MONDVDDLD;;;;;;;;0.8003;mgN/l;MONDVDDLD
29-08-13 11:39:00;Imares_st_5;MONDVDDLD;;;;;;;;0.6762;mgN/l;MONDVDDLD
16-09-13 15:27:00;Imares_st_5;MONDVDDLD;;;;;;;;0.8616;mgN/l;MONDVDDLD
15-10-13 14:49:00;Imares_st_5;MONDVDDLD;;;;;;;;1.0947;mgN/l;MONDVDDLD
14-11-13 14:53:00;Imares_st_5;MONDVDDLD;;;;;;;;2.6613;mgN/l;MONDVDDLD
21-02-13 14:32:00;Imares_st_6;GROOTGTND;;;;;;;;4.3952;mgN/l;GROOTGTND
07-03-13 13:12:00;Imares_st_6;GROOTGTND;;;;;;;;4.6967;mgN/l;GROOTGTND
25-03-13 16:47:00;Imares_st_6;GROOTGTND;;;;;;;;4.3675;mgN/l;GROOTGTND
04-04-13 12:43:00;Imares_st_6;GROOTGTND;;;;;;;;3.4734;mgN/l;GROOTGTND
18-04-13 11:38:00;Imares_st_6;GROOTGTND;;;;;;;;2.7791;mgN/l;GROOTGTND
02-05-13 10:05:00;Imares_st_6;GROOTGTND;;;;;;;;2.2893;mgN/l;GROOTGTND
22-05-13 16:40:00;Imares_st_6;GROOTGTND;;;;;;;;1.4662;mgN/l;GROOTGTND
04-06-13 15:42:00;Imares_st_6;GROOTGTND;;;;;;;;1.3826;mgN/l;GROOTGTND
19-06-13 14:42:00;Imares_st_6;GROOTGTND;;;;;;;;1.1965;mgN/l;GROOTGTND
03-07-13 15:00:00;Imares_st_6;GROOTGTND;;;;;;;;0.6196;mgN/l;GROOTGTND
17-07-13 12:02:00;Imares_st_6;GROOTGTND;;;;;;;;1.1942;mgN/l;GROOTGTND
01-08-13 13:33:00;Imares_st_6;GROOTGTND;;;;;;;;0.9275;mgN/l;GROOTGTND
15-08-13 12:32:00;Imares_st_6;GROOTGTND;;;;;;;;0.6729;mgN/l;GROOTGTND
29-08-13 12:05:00;Imares_st_6;GROOTGTND;;;;;;;;0.67601;mgN/l;GROOTGTND
16-09-13 15:55:00;Imares_st_6;GROOTGTND;;;;;;;;0.9062;mgN/l;GROOTGTND
15-10-13 15:22:00;Imares_st_6;GROOTGTND;;;;;;;;1.1239;mgN/l;GROOTGTND
14-11-13 15:21:00;Imares_st_6;GROOTGTND;;;;;;;;2.9233;mgN/l;GROOTGTND
12-12-13 13:33:00;Imares_st_6;GROOTGTND;;;;;;;;3.3207;mgN/l;GROOTGTND
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
