Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"N5783.91";"NEN 5783:1991 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van de drukhoogte met behulp van een tensiometer";11-06-2011;;"G"
"N5784.91";"NEN 5784:1991 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van het watergehalte met een gammadieptesonde";11-06-2011;;"G"
"N5785.91";"NEN 5785:1991 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - In-situbepaling van de waterretentiekarakteristiek";11-06-2011;;"G"
"N5786.91";"NEN 5786:1991 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van de waterretentiekarakteristiek - Onderdrukmethode tot <(cursief)h>= -200 cm - Bepaling met een poreuze plaat in combinatie met een buret";11-06-2011;;"G"
"N5787.94";"NEN 5787:1994 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van de waterretentiekarakteristiek tot <(cursief)h> = -500 cm - Onderdrukmethode - Gravimetrische laboratoriumbepaling";11-06-2011;;"G"
"N5788.94";"NEN 5788:1994 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van de waterretentiekarakteristiek van <(cursief)h> = -500 tot <(cursief)h> = -20000 cm - Overdrukmethode - Gravimetrische laboratoriumbepaling met een pers";11-06-2011;;"G"
"N5789.91";"NEN 5789:1991 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van de verzadigde waterdoorlatendheid";11-06-2011;;"G"
"N5791.95";"NEN 5791:1995 nl";"Norm bodem-fysisch";"Bodem - Onverzadigde zone - Bepaling van de onverzadigde waterdoorlatendheidskarakteristiek en de waterretentiekarakteristiek met de verdampingsmethode volgens Wind";11-06-2011;;"G"
"N6261.90";"NEN 6261:1990/A1:2002";"Norm water-biologisch";"Bacteriologisch onderzoek van water - Onderzoek met behulp van membraanfiltratie naar de aanwezigheid en het aantal kolonievormende eenheden (KVE) van <(cursief)Escherichia coli>";11-06-2011;;"G"
"N6263.89";"NEN 6263:1989 nl";"Norm water-biologisch";"Bacteriologisch onderzoek van water - Onderzoek met behulp van membraanfiltratie naar de aanwezigheid en het aantal kolonievormende eenheden (KVE) van <(cursief)Aeromonas>-bacteriën";11-06-2011;;"G"
"N6265.07";"NEN 6265:2007 nl";"Norm water-biologisch";"Water - Detectie en telling van <(cursief)Legionella>";11-06-2011;;"G"
"N6269.96";"NEN 6269:1996 nl";"Norm water-biologisch";"Bacteriologisch onderzoek van water - Onderzoek naar de aanwezigheid en/of het meest waarschijnlijke aantal van thermofiele <(cursief)Campylobacter>-bacteriën";11-06-2011;;"G"
"N6271.95";"NEN 6271:1995 nl";"Norm water-biologisch";"Bacteriologisch onderzoek van water - Bepaling van het gehalte gemakkelijk Assimileerbaar Organisch Koolstof (AOC)";11-06-2011;;"G"
"N6274.95";"NEN 6274:1995 nl";"Norm vervallen";"Bacteriologisch onderzoek van water - Kwantificeren van faecale streptococcen door membraanfiltratie";11-06-2011;;"G"
"N6275.96";"NEN 6275:1996 nl";"Norm water-biologisch";"Bacteriologisch onderzoek van water - pH-meting van bacteriologische media";11-06-2011;;"G"
"N6276.95";"NEN 6276:1995 nl";"Norm water-biologisch";"Bacteriologisch onderzoek van water - Bepaling van het koloniegetal op R<(inf)2>A-agar bij 25°C";11-06-2011;;"G"
