Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"I9963-1.96";"NEN-EN-ISO 9963-1:1996 en";"Norm water-chemisch";"Water - Bepaling van de alkaliniteit - Deel 1: Bepaling van de totale en de samengestelde alkaliniteit";11-06-2011;;"G"
"I9963-2.94";"ISO 9963-2:1994 en";"Norm water-chemisch";"Water quality - Determination of alkalinity - Part 2: Determination of carbonate alkalinity";11-06-2011;;"G"
"I9963-2.96";"NEN-EN-ISO 9963-2:1996 en";"Norm water-chemisch";"Water - Bepaling van de alkaliniteit - Deel 2: Bepaling van de carbonaatalkaliniteit";11-06-2011;;"G"
"I9964-1.93";"ISO 9964-1:1993 en";"Norm water-chemisch";"Water quality - Determination of sodium and potassium - Part 1: Determination of sodium by atomic absorption spectrometry";11-06-2011;;"G"
"I9964-2.93";"ISO 9964-2:1993 en";"Norm water-chemisch";"Water quality - Determination of sodium and potassium - Part 2: Determination of potassium by atomic absorption spectrometry";11-06-2011;;"G"
"I9964-3.93";"ISO 9964-3:1993 en";"Norm water-chemisch";"Water quality - Determination of sodium and potassium - Part 3: Determination of sodium and potassium by flame emission spectrometry";11-06-2011;;"G"
"I9965.93";"ISO 9965:1993 en";"Norm water-chemisch";"Water quality - Determination of selenium - Atomic absorption spectrometric method (hydride technique)";11-06-2011;;"G"
"KRW";"Bepaling afgeleide waarde volgens KRW-methodiek";"Methodiek";;11-06-2011;;"G"
"MODEL";"Waarde is bepaald/berekend volgens model";"Methodiek";;11-06-2011;;"G"
"N12176.98";"NEN-EN 12176:1998 en";"Norm slib";"Karakterisering van slib - bepaling van de pH-waarde";11-06-2011;;"G"
"N12260.03";"NEN-EN 12260:2003 en";"Norm water-chemisch";"Water - Bepaling van het stikstofgehalte - Bepaling van het gehalte aan gebonden stikstof (TN sub b), na oxidatie tot stikstof oxiden";11-06-2011;;"G"
"N1233.97";"NEN-EN 1233:1997 en,nl";"Norm water-chemisch";"Water - Bepaling van het gehalte aan chroom - Atomaire-absorptiespectrometrische methoden";11-06-2011;;"G"
"N12338.98";"NEN-EN 12338:1998 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan kwik - Methoden na verrijking door amalgamatie";11-06-2011;;"G"
"N12457-1.02";"NEN-EN 12457-1:2002 en";"Norm slib";"Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 1: Eén-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 2 l/kg voor materialen met een hoog gehalte aan vaste stoffen en met deeltjesgrootte beneden 4 mm (zonder of met groottereductie)";11-06-2011;;"G"
"N12457-2.02";"NEN-EN 12457-2:2002 en";"Norm slib";"Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 2: Eén-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 10 l/kg voor materialen met deeltjesgrootte beneden 4 mm (zonder of met groottereductie)";11-06-2011;;"G"
"N12457-3.02";"NEN-EN 12457-3:2002 en";"Norm slib";"Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 3: Twee-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 2 l en 8 l/kg voor materialen met een hoog gehalte aan vaste stof en met deeltjesgrootte beneden 4 mm (zonder of met groottereductie)";11-06-2011;;"G"
"N12457-4.02";"NEN-EN 12457-4:2002 en";"Norm slib";"Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 4: Eén-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 10 l/kg voor materialen met deeltjesgrootte beneden 10 mm (zonder of met groottereductie)";11-06-2011;;"G"
"N12673.99";"NEN-EN 12673:1999 en";"Norm water-chemisch";"Water - Gaschromatografische bepaling van een aantal geselecteerde chloorfenolen in water";11-06-2011;;"G"
"N12780.02";"NEN-EN 12780:2002 en";"Norm water-biologisch";"Water - Detectie en telling van <(cursief)Pseudomonas aeruginosa> door membraanfiltratie";11-06-2011;;"G"
"N12879.01";"NEN-EN 12879:2001 en";"Norm slib";"Karakterisering van slib - bepaling van de gloeirest";11-06-2011;;"G"
"N12880.01";"NEN-EN 12880:2001 en";"Norm slib";"Karakterisering van slib - bepaling van het droge-stofgehalte en het watergehalte";11-06-2011;;"G"
"N12918.99";"NEN-EN 12918:1999 en";"Norm water-chemisch";"Water - Bepaling van parathion, parathionmethyl en enkele andere organofosforverbindingen in water met dichloormethaanextractie en gaschromatografische analyse";11-06-2011;;"G"
"N13137.01";"NEN-EN 13137:2001 en";"Norm slib";"Karakterisering van afval - bepaling van het gehalte aan totaal organisch koolstof (TOC) in afval, slib en sediment";11-06-2011;;"G"
"N13342.00";"NEN-EN 13342:2000 en";"Norm slib";"Karakterisering van slib - bepaling van het stikstofgehalte met de Kjeldahl methode";11-06-2011;;"G"
"N13346.00";"NEN-EN 13346:2000 en";"Norm slib";"Karakterisering van slib - bepaling van spoorelementen en fosfor - Koningswaterextractiemethoden";11-06-2011;;"G"
"N13506.01";"NEN-EN 13506:2001 en";"Norm water-chemisch";"Water - Bepaling van kwik met behulp van atomaire fluorescentiespectrometrie";11-06-2011;;"G"
"N13577.07";"NEN-EN 13577:2007 en";"Norm water-chemisch";"Chemische aantasting van beton - Bepaling van het gehalte aan agressieve koolstofdioxide in water";11-06-2011;;"G"
"N13656.02";"NEN-EN 13656:2002 en";"Norm slib";"Karakterisering van afval - Microgolfontsluiting met waterstoffluoride (HF), salpeterzuur (HNO<(inf)3> en zoutzuur(HCI)mengsels voor de bepaling van elementen in afval";11-06-2011;;"G"
"N13657.02";"NEN-EN 13657:2002 en";"Norm slib";"Karakterisering van afval - Ontsluiting voor de bepaling van in koningswater oplosbare elementen";11-06-2011;;"G"
"N13946.03";"NEN-EN 13946:2003 en";"Norm water-biologisch";"Waterkwaliteit - Richtlijn voor de routinematige bemonstering en monstervoorbehandeling van benthische diatomeeën in rivieren";11-06-2011;;"G"
"N14011.03";"NEN-EN 14011:2003 en";"Norm water-biologisch";"Water - Bemonstering van vis met behulp van elektriciteit";11-06-2011;;"G"
"N14184.03";"NEN-EN 14184:2003 en";"Norm water-biologisch";"Waterkwaliteit - Richtlijn voor de inventarisatie van aquatische macrofyten in stromende wateren";11-06-2011;;"G"
"N14207.03";"NEN-EN 14207:2003 en";"Norm water-chemisch";"Water - Bepaling van epichloorhydrine";11-06-2011;;"G"
"N14393.02";"NEN-EN 14393:2002 Ontw. en";"Norm water-biologisch";"Water - Richtlijn voor kwaliteitsborgingsaspecten bij inventarisatie en analyse van aquatische macrofyten in stromende wateren";11-06-2011;;"G"
"N14407.04";"NEN-EN 14407:2004 en";"Norm water-biologisch";"Water - Richtlijn voor de determinatie, telling en interpretatie van monsters van benthische diatomeeën uit stromend water";11-06-2011;;"G"
"N14486.05";"NEN-EN 14486:2005 en";"Norm water-chemisch";"Water - Detectie van humane enterovirussen door ""monolayer plaque assay";11-06-2011;;"G"
"N14614.04";"NEN-EN 14614:2004 en";"Norm water-biologisch";"Water - Richtlijn voor de beoordeling van hydromorphologische kenmerken van rivieren";11-06-2011;;"G"
"N14671.06";"NEN-EN 14671:2006 en";"Norm slib";"Karakterisering van slib - Voorbehandeling voor de bepaling van ammoniakstikstof met gebruik van 2 mol/l kaliumchloride";11-06-2011;;"G"
"N14672.05";"NEN-EN 14672:2005 en";"Norm slib";"Karakterisering van slib - bepaling van het totale gehalte aan fosfor";11-06-2011;;"G"
"N14701-1.06";"NEN-EN 14701-1:2006 en";"Norm slib";"Karakterisering van slib - Filtratie-eigenschappen - Deel 1: Capillair zuigtijd (CST)";11-06-2011;;"G"
"N14701-2.06";"NEN-EN 14701-2:2006 en";"Norm slib";"Karakterisering van slib - Filtratie-eigenschappen - Deel 2: bepaling van de specifieke weerstand tegen filtratie";11-06-2011;;"G"
"N14701-3.06";"NEN-EN 14701-3:2006 en";"Norm slib";"Karakterisering van slib - Filtratie-eigenschappen - Deel 3: bepaling van de compressibiliteit";11-06-2011;;"G"
"N14701-4.07";"NEN-EN 14701-4:2007 Ontw. en";"Norm slib";"Karakterisering van slib - Filtratie-eigenschappen - Deel 4: bepaling van de ontwatering voor vlokkerige slib";11-06-2011;;"G"
"N14702-1.06";"NEN-EN 14702-1:2006 en";"Norm slib";"Karakterisering van slib - Bezinkingseigenschappen - Deel 1: bepaling van de bezinkbaarheid ( bepaling van de proportie van slibvolume en slibvolume index)";11-06-2011;;"G"
"N14702-2.06";"NEN-EN 14702-2:2006 en";"Norm slib";"Karakterisering van slib - Bezinkingseigenschappen - Deel 2: bepaling van de indikking";11-06-2011;;"G"
"N14757.05";"NEN-EN 14757:2005 en";"Norm water-biologisch";"Water - Bemonstering van vis met behulp van visnetten met meerdere maasgroottes";11-06-2011;;"G"
"N1483.07";"NEN-EN 1483:2007 en";"Norm water-chemisch";"Water - Bepaling van kwik - Methode met atomaire-absorpt iespectrometrie";11-06-2011;;"G"
"N1484.97";"NEN-EN 1484:1997 en,nl";"Norm water-chemisch";"Water - Leidraad voor de bepaling van het gehalte aan totaal organische koolstof (TOC) en opgelost organisch koolstof (DOC)";11-06-2011;;"G"
"N14962.06";"NEN-EN 14962:2006 en";"Norm water-biologisch";"Water - Richtlijn over het toepassingsgebied en keuze van methoden voor monsterneming van vis";11-06-2011;;"G"
"N14996.06";"NEN-EN 14996:2006 en";"Norm water-biologisch";"Water - Richtlijn voor de kwaliteitsborging van biologische en ecologische beoordelingen in het aquatische milieu";11-06-2011;;"G"
"N15169.07";"NEN-EN 15169:2007 en";"Norm slib";"Karakterisering van afval - bepaling van het gloeiverlies in afval, slib en sediment";11-06-2011;;"G"
"N15170.05";"NEN-EN 15170:2005 Ontw. en";"Norm slib";"Karakterisering van slib - Verbrandingswaarde (bepaling van de bruto en netto verbrandingswaarde)";11-06-2011;;"G"
"N15171.05";"NEN-EN 15171:2005 Ontw. en";"Norm slib";"Karakterisering van slib - bepaling van adsorbeerbare organische gebonden halogenen";11-06-2011;;"G"
"N15192.06";"NEN-EN 15192:2006 en";"Norm bodem-chemisch";"Karakterisering van afval en bodem - Bepaling van Chroom(VI) in vaste materialen door alkalische ontsluiting en ion chromatografie met spectrofotometrische detectie";11-06-2011;;"G"
"N15204.06";"NEN-EN 15204:2006 en";"Norm water-biologisch";"Kwaliteit van water - Richtlijn voor het tellen van fytoplankton met behulp van omgekeerde microscopie (Utermöhl-techniek)";11-06-2011;;"G"
"N15216.07";"NEN-EN 15216:2007 en";"Norm water-chemisch";"Karakterisering van afval - Bepaling van het gehalte aan totaal opgeloste stof (TDS) in water en eluaten";11-06-2011;;"G"
"N15308.08";"NEN-EN 15308:2008 en";"Norm slib";"Karakterisering van afval - bepaling van geselecteerde polychloorbifenylen (PCB) in vast afval door gebruik van capillaire gaschromatografie met elektronen-invangdetectie of massaspectrometrische detectie";11-06-2011;;"G"
"N15309.07";"NEN-EN 15309:2007 en";"Norm bodem-chemisch";"Karakterisering van afval en bodem - Bepaling van de samenstelling van elementen met röntgenfluorescentie";11-06-2011;;"G"
"N15400.11";"NEN-EN 15400:2011 en";"Norm slib";"Vaste secundaire brandstoffen - Methoden voor de bepaling van calorische waarden";27-04-2013;;"G"
"N15460.07";"NEN-EN 15460:2007 en";"Norm water-biologisch";"Water - Richtlijn voor de inventarisatie van macrofyten in meren";11-06-2011;;"G"
"N15708.07";"NEN-EN 15708:2007 Ontw. en";"Norm water-biologisch";"Water - Richtlijn voor de inventarisatie, bemonstering en laboratorium analyse van fytobenthos in ondiep stromend water";11-06-2011;;"G"
"N1622.06";"NEN-EN 1622:2006 en";"Norm water-fysisch";"Water - Bepaling van de drempelwaarden voor geur (TON) en smaak (TFN)";11-06-2011;;"G"
"N1899-1.98";"NEN-EN 1899-1:1998 en,nl";"Norm water-chemisch";"Water - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BOD<(cursief)n>) - Deel 1: Verdunnings- en entmethode met toevoeging van allylthioreum";11-06-2011;;"G"
"N1899-2.98";"NEN-EN 1899-2:1998 en,nl";"Norm water-chemisch";"Waterkwaliteit - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BOD<(cursief)n>) - Deel 2: Methode voor onverdunde monsters";11-06-2011;;"G"
"N5110.01";"NEN 5110:2001 nl";"Norm bodem-fysisch";"Geotechniek - Bepaling van de volumieke massa van grond in het laboratorium - Steekringmethode";11-06-2011;;"G"
"N5622.06";"NEN 5622: 2006 nl";"Norm radioactiviteit";"Radioactiviteitsmetingen - Bepaling van de massieke totale alfa-activiteit van een vast telmonster met de dikke-laagmethode";01-07-2013;;"G"
"N5623.02";"NEN 5623:2002 nl";"Norm radioactiviteit";"Radioactiviteitsmetingen - Bepaling van de activiteit van gammastraling uitzendende nucliden in een telmonster met halfgeleider-gammaspectrometrie";31-05-2012;;"G"
"N5627.06";"NEN 5627: 2006 nl";"Norm radioactiviteit";"Radioactiviteitsmetingen - Bepaling van de massieke totale bèta-activiteit en massieke rest-bèta-activiteit van een vast telmonster";01-07-2013;;"G"
"N5694+C1.11";"NEN 5694:2007+C1:2011 nl";"Norm radioactiviteit";"Radioactiviteitsmetingen - Methoden voor de radiochemische bepaling van polonium-210 (210Po) en lood-210 (210Pb)";01-07-2013;;"G"
"N5704.96";"NEN 5704:1996 nl";"Norm bodem-chemisch";"Bodem - Monstervoorbehandeling van grond - Extractie met een calciumchloride-oplossing (0,01 mol/l)";11-06-2011;;"G"
"N5707+C1.06";"NEN 5707:2003+C1:2006 nl";"Norm bodem-chemisch";"Bodem  Inspectie, monsterneming en analyse van asbest in bodem en partijen grond";06-12-2011;;"G"
"N5709.06";"NEN 5709:2006 nl";"Norm bodem-chemisch";"Bodem - Monstervoorbehandeling voor de bepaling van organische en anorganische parameters in grond";11-06-2011;;"G"
"N5719.99";"NEN 5719:1999 nl";"Norm bodem-chemisch";"Bodem - Voorbehandeling van waterbodemmonsters";11-06-2011;;"G"
"N5727.04";"NEN 5727:2004";"Norm bodem-chemisch";"Bodem  Monsterneming en analyse van asbest in waterbodem en baggerspecie";06-12-2011;;"G"
"N5733.97";"NEN 5733:1997 nl";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan minerale olie in grond en waterbodem met gaschromatografie";11-06-2011;;"G"
"N5734.99";"NEN 5734:1999";"Norm vervallen";"Bodem - Gaschromatografische bepaling van de gehalten aan organochloorbestrijdingsmiddelen (OCB's), chloorbenzenen en polychloorbifenylen (PCB's)";11-06-2011;;"G"
"N5735.99";"NEN 5735:1999 nl";"Norm bodem-chemisch";"Bodem - Bepaling van het halogeengehalte afkomstig van niet-vluchtige, met aceton en petroleumether extraheerbare organohalogeenverbindingen (EOX)";11-06-2011;;"G"
"N5738.96";"NEN 5738:1996 nl";"Norm bodem-chemisch";"Bodem - Bepaling van de actuele kationen-uitwisselingscapaciteit en uitwisselbare basische kationen in grond";11-06-2011;;"G"
"N5739.96";"NEN 5739:1996 nl";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan vrij ijzer met atomaire-absorptiespectrometrie";11-06-2011;;"G"
"N5747.90";"NEN 5747:1990 nl";"Norm vervallen";"Bodem - Bepaling van het vochtgehalte en het gehalte aan droge stof van veldvochtige grond";11-06-2011;;"G"
"N5748.90";"NEN 5748:1990 nl";"Norm vervallen";"Bodem - Bepaling van het vochtgehalte en het gehalte aan droge stof van luchtdroge grond";11-06-2011;;"G"
"N5749.91";"NEN 5749:1991 nl";"Norm bodem-fysisch";"Bodem - Bepaling van de soortelijke elektrische geleiding in grond";11-06-2011;;"G"
"N5750.89";"NEN 5750:1989 nl";"Norm vervallen";"Bodem - Bepaling van de pH in grondmonsters";11-06-2011;;"G"
"N5752.95";"NEN 5752:1995 nl";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan carbonaten in grond - Gravimetrische methode";11-06-2011;;"G"
"N5753+C1.09";"NEN 5753:2006+C1:2009 nl";"Norm bodem-fysisch";"Bodem - Bepaling van het lutumgehalte en de korrelgrootteverdeling in grond en waterbodem met behulp van zeef en pipet";17-09-2011;;"G"
"N5753.06";"NEN 5753:2006 nl";"Norm vervallen";"Bodem - Bepaling van het lutumgehalte en de korrelgrootteverdeling in grond en waterbodem met behulp van zeef en pipet, Verv. door NEN 5753:2006+C1:2009 nl";17-09-2011;;"G"
"N5754.05";"NEN 5754:2005 nl";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan organische stof op massabasis in grond en waterbodem volgens de gloeiverliesmethode";11-06-2011;;"G"
"N5756.95";"NEN 5756:1995 nl";"Norm bodem-chemisch";"Bodem - Bepaling van organisch en totaal koolstofgehalte in grond na droge verassing (""elementair analyse"")";11-06-2011;;"G"
"N5757.91";"NEN 5757:1991 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan carbonaten in grond - Volumetrische methode";11-06-2011;;"G"
"N5758.90";"NEN 5758:1990 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan koper in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5759.90";"NEN 5759:1990 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan zink in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5760.91";"NEN 5760:1991 nl";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan arseen in grond met behulp van atomaire-absorptiespectrometrie (hydridegeneratietechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5761.90";"NEN 5761:1990 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan lood in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5762.91";"NEN 5762:1991 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan cadmium in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zoutzuur";11-06-2011;;"G"
"N5763.91";"NEN 5763:1991 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan chroom in grond met behulp van atomaire-absorptiespectrometrie (vlamtechniek) na ontsluiting met salpeterzuur en zwavelzuur";11-06-2011;;"G"
"N5764.89";"NEN 5764:1989 nl";"Norm vervallen";"Bodem - Bepaling van het gehalte aan kwik in grond met behulp van atomaire-absorptiespectrometrie na ontsluiting met salpeterzuur in een PTFE-destructievat bij 140 °C onder druk";11-06-2011;;"G"
